Date,Time,Price (€/kWh)
03-04-2023,00:00:00,0.13318
03-04-2023,01:00:00,0.16895
03-04-2023,02:00:00,0.20448
03-04-2023,03:00:00,0.21761
03-04-2023,04:00:00,0.16940
03-04-2023,05:00:00,0.11154
03-04-2023,06:00:00,0.08245
03-04-2023,07:00:00,0.08665
03-04-2023,08:00:00,0.05953
03-04-2023,09:00:00,0.08661
03-04-2023,10:00:00,0.09548
03-04-2023,11:00:00,0.09922
03-04-2023,12:00:00,0.12142
03-04-2023,13:00:00,0.16186
03-04-2023,14:00:00,0.19131
03-04-2023,15:00:00,0.20073
03-04-2023,16:00:00,0.18004
03-04-2023,17:00:00,0.15980
03-04-2023,18:00:00,0.13688
03-04-2023,19:00:00,0.13413
03-04-2023,20:00:00,0.13327
03-04-2023,21:00:00,0.14015
03-04-2023,22:00:00,0.13989
03-04-2023,23:00:00,0.14122
Date,Time,Price (€/kWh)
04-04-2023,00:00:00,0.14751
04-04-2023,01:00:00,0.17587
04-04-2023,02:00:00,0.21849
04-04-2023,03:00:00,0.23064
04-04-2023,04:00:00,0.19151
04-04-2023,05:00:00,0.13043
04-04-2023,06:00:00,0.13554
04-04-2023,07:00:00,0.12456
04-04-2023,08:00:00,0.12971
04-04-2023,09:00:00,0.12985
04-04-2023,10:00:00,0.13154
04-04-2023,11:00:00,0.13640
04-04-2023,12:00:00,0.14762
04-04-2023,13:00:00,0.17799
04-04-2023,14:00:00,0.21780
04-04-2023,15:00:00,0.21456
04-04-2023,16:00:00,0.18881
04-04-2023,17:00:00,0.17108
04-04-2023,18:00:00,0.15718
04-04-2023,19:00:00,0.15408
04-04-2023,20:00:00,0.14294
04-04-2023,21:00:00,0.14464
04-04-2023,22:00:00,0.14300
04-04-2023,23:00:00,0.15101
Date,Time,Price (€/kWh)
04-04-2023,00:00:00,0.14751
04-04-2023,01:00:00,0.17587
04-04-2023,02:00:00,0.21849
04-04-2023,03:00:00,0.23064
04-04-2023,04:00:00,0.19151
04-04-2023,05:00:00,0.13043
04-04-2023,06:00:00,0.13554
04-04-2023,07:00:00,0.12456
04-04-2023,08:00:00,0.12971
04-04-2023,09:00:00,0.12985
04-04-2023,10:00:00,0.13154
04-04-2023,11:00:00,0.13640
04-04-2023,12:00:00,0.14762
04-04-2023,13:00:00,0.17799
04-04-2023,14:00:00,0.21780
04-04-2023,15:00:00,0.21456
04-04-2023,16:00:00,0.18881
04-04-2023,17:00:00,0.17108
04-04-2023,18:00:00,0.15718
04-04-2023,19:00:00,0.15408
04-04-2023,20:00:00,0.14294
04-04-2023,21:00:00,0.14464
04-04-2023,22:00:00,0.14300
04-04-2023,23:00:00,0.15101
